"city_name","avg_driver_rating","avg_passenger_rating","passenger_type"
"Kochi","8.99","8.00","repeated"
"Visakhapatnam","8.99","7.99","repeated"
"Jaipur","8.98","7.99","repeated"
"Mysore","8.97","7.98","repeated"
"Coimbatore","7.48","7.48","repeated"
"Indore","7.48","7.47","repeated"
"Chandigarh","7.47","7.49","repeated"
"Lucknow","6.49","5.99","repeated"
"Surat","6.48","6.00","repeated"
"Vadodara","6.48","5.98","repeated"
"Jaipur","8.99","8.99","new"
"Kochi","8.99","8.99","new"
"Visakhapatnam","8.98","8.98","new"
"Mysore","8.98","8.98","new"
"Coimbatore","7.99","8.49","new"
"Chandigarh","7.99","8.49","new"
"Indore","7.97","8.49","new"
"Vadodara","7.00","7.98","new"
"Lucknow","6.99","7.98","new"
"Surat","6.99","7.98","new"
