"city_name","month_name","record_count","record_type"
"Chandigarh","April","5566","Lowest"
"Chandigarh","February","7387","Highest"
"Coimbatore","June","3158","Lowest"
"Coimbatore","March","3680","Highest"
"Indore","June","6288","Lowest"
"Indore","May","7787","Highest"
"Jaipur","June","9842","Lowest"
"Jaipur","February","15872","Highest"
"Kochi","June","6399","Lowest"
"Kochi","May","10014","Highest"
"Lucknow","May","9705","Lowest"
"Lucknow","February","12060","Highest"
"Mysore","January","2485","Lowest"
"Mysore","May","3007","Highest"
"Surat","January","8358","Lowest"
"Surat","April","9831","Highest"
"Vadodara","June","4685","Lowest"
"Vadodara","April","5941","Highest"
"Visakhapatnam","January","4468","Lowest"
"Visakhapatnam","April","4938","Highest"
