"city_name","months","total_actual_trips","total_target_trips","trip_percentage_diff","trip_target_status","avg_passenger_rating","target_avg_passenger_rating","rating_percentage_diff","rating_target_status","new_passengers","target_new_passengers","passenger_percentage_diff","passenger_target_status"
"Chandigarh","2024-01-01 00:00:00+00","6810",7000,"-2.71","Missed","8.0681350954478708","8","0.85","Exceeded",3920,4000,"-2.00","Missed"
"Chandigarh","2024-02-01 00:00:00+00","7387",7000,"5.53","Exceeded","8.0272099634493028","8","0.34","Exceeded",4104,4000,"2.60","Exceeded"
"Chandigarh","2024-03-01 00:00:00+00","6569",7000,"-6.16","Missed","7.9951286344953570","8","-0.06","Missed",3228,4000,"-19.30","Missed"
"Chandigarh","2024-04-01 00:00:00+00","5566",6000,"-7.23","Missed","7.9444843693855552","8","-0.69","Missed",2496,3000,"-16.80","Missed"
"Chandigarh","2024-05-01 00:00:00+00","6620",6000,"10.33","Exceeded","7.9101208459214502","8","-1.12","Missed",2730,3000,"-9.00","Missed"
"Chandigarh","2024-06-01 00:00:00+00","6029",6000,"0.48","Exceeded","7.8936805440371538","8","-1.33","Missed",2430,3000,"-19.00","Missed"
"Coimbatore","2024-01-01 00:00:00+00","3651",3500,"4.31","Exceeded","7.9832922486989866","8.25","-3.23","Missed",1822,1500,"21.47","Exceeded"
"Coimbatore","2024-02-01 00:00:00+00","3404",3500,"-2.74","Missed","7.9524089306698002","8.25","-3.61","Missed",1647,1500,"9.80","Exceeded"
"Coimbatore","2024-03-01 00:00:00+00","3680",3500,"5.14","Exceeded","7.9070652173913043","8.25","-4.16","Missed",1538,1500,"2.53","Exceeded"
"Coimbatore","2024-04-01 00:00:00+00","3661",3500,"4.60","Exceeded","7.8434853865064190","8.25","-4.93","Missed",1242,1000,"24.20","Exceeded"
"Coimbatore","2024-05-01 00:00:00+00","3550",3500,"1.43","Exceeded","7.7569014084507042","8.25","-5.98","Missed",1039,1000,"3.90","Exceeded"
"Coimbatore","2024-06-01 00:00:00+00","3158",3500,"-9.77","Missed","7.8521215959468018","8.25","-4.82","Missed",1226,1000,"22.60","Exceeded"
"Indore","2024-01-01 00:00:00+00","6737",7000,"-3.76","Missed","7.9153926079857503","8","-1.06","Missed",2843,2700,"5.30","Exceeded"
"Indore","2024-02-01 00:00:00+00","7210",7000,"3.00","Exceeded","7.8941747572815534","8","-1.32","Missed",2878,2700,"6.59","Exceeded"
"Indore","2024-03-01 00:00:00+00","7019",7000,"0.27","Exceeded","7.8575295626157572","8","-1.78","Missed",2742,2700,"1.56","Exceeded"
"Indore","2024-04-01 00:00:00+00","7415",7500,"-1.13","Missed","7.7874578556979096","8","-2.66","Missed",2351,2000,"17.55","Exceeded"
"Indore","2024-05-01 00:00:00+00","7787",7500,"3.83","Exceeded","7.7444458713240015","8","-3.19","Missed",2028,2000,"1.40","Exceeded"
"Indore","2024-06-01 00:00:00+00","6288",7500,"-16.16","Missed","7.7781488549618321","8","-2.77","Missed",2021,2000,"1.05","Exceeded"
"Jaipur","2024-01-01 00:00:00+00","14976",13000,"15.20","Exceeded","8.6849626068376068","8.25","5.27","Exceeded",10423,12000,"-13.14","Missed"
"Jaipur","2024-02-01 00:00:00+00","15872",13000,"22.09","Exceeded","8.6668976814516129","8.25","5.05","Exceeded",10789,12000,"-10.09","Missed"
"Jaipur","2024-03-01 00:00:00+00","13317",13000,"2.44","Exceeded","8.5332282045505745","8.25","3.43","Exceeded",7417,12000,"-38.19","Missed"
"Jaipur","2024-04-01 00:00:00+00","11406",9500,"20.06","Exceeded","8.5206031913028231","8.25","3.28","Exceeded",6120,6000,"2.00","Exceeded"
"Jaipur","2024-05-01 00:00:00+00","11475",9500,"20.79","Exceeded","8.4631808278867102","8.25","2.58","Exceeded",5332,6000,"-11.13","Missed"
"Jaipur","2024-06-01 00:00:00+00","9842",9500,"3.60","Exceeded","8.5785409469619996","8.25","3.98","Exceeded",5775,6000,"-3.75","Missed"
"Kochi","2024-01-01 00:00:00+00","7344",7500,"-2.08","Missed","8.6730664488017429","8.5","2.04","Exceeded",4865,5000,"-2.70","Missed"
"Kochi","2024-02-01 00:00:00+00","7688",7500,"2.51","Exceeded","8.5607440166493236","8.5","0.71","Exceeded",4367,5000,"-12.66","Missed"
"Kochi","2024-03-01 00:00:00+00","9495",7500,"26.60","Exceeded","8.4983675618746709","8.5","-0.02","Missed",4865,5000,"-2.70","Missed"
"Kochi","2024-04-01 00:00:00+00","9762",9000,"8.47","Exceeded","8.4931366523253432","8.5","-0.08","Missed",4939,4000,"23.48","Exceeded"
"Kochi","2024-05-01 00:00:00+00","10014",9000,"11.27","Exceeded","8.4312961853405233","8.5","-0.81","Missed",4369,4000,"9.23","Exceeded"
"Kochi","2024-06-01 00:00:00+00","6399",9000,"-28.90","Missed","8.4771057977809033","8.5","-0.27","Missed",3011,4000,"-24.73","Missed"
"Lucknow","2024-01-01 00:00:00+00","10858",13000,"-16.48","Missed","6.6207404678578007","7.25","-8.68","Missed",3465,3200,"8.28","Exceeded"
"Lucknow","2024-02-01 00:00:00+00","12060",13000,"-7.23","Missed","6.5738805970149254","7.25","-9.33","Missed",3529,3200,"10.28","Exceeded"
"Lucknow","2024-03-01 00:00:00+00","11224",13000,"-13.66","Missed","6.5441019244476123","7.25","-9.74","Missed",3159,3200,"-1.28","Missed"
"Lucknow","2024-04-01 00:00:00+00","10212",11000,"-7.16","Missed","6.4544653349001175","7.25","-10.97","Missed",2311,2000,"15.55","Exceeded"
"Lucknow","2024-05-01 00:00:00+00","9705",11000,"-11.77","Missed","6.3588871715610510","7.25","-12.29","Missed",1825,2000,"-8.75","Missed"
"Lucknow","2024-06-01 00:00:00+00","10240",11000,"-6.91","Missed","6.3492187500000000","7.25","-12.42","Missed",1971,2000,"-1.45","Missed"
"Mysore","2024-01-01 00:00:00+00","2485",2000,"24.25","Exceeded","8.7887323943661972","8.5","3.40","Exceeded",1957,2000,"-2.15","Missed"
